text,correct,relevant,irrelevant,,
"Support: Electricity is a flow of electrons. Atoms of metals tend to give up electrons, explaining why they are good conductors of electricity. The tendency to give up electrons also explains many of the other properties of metals. \n Question: Why are atoms of metals good conductors of electricity?",give up electrons,break into smaller parts,mutagens,,
"Support: Figure 5.10 The sun emits energy in the form of electromagnetic radiation. This radiation exists in different wavelengths, each of which has its own characteristic energy. Visible light is one type of energy emitted from the sun. \n Question: The sun emits energy in the form of what?",electromagnetic radiation,mechanical radiation,reaction mechanism,,
"Support: Zinc is an important component of many kinds of batteries. This metal is mined as zinc compounds, one of which is zinc carbonate. To obtain the pure metal, the ore must go through the following chemical processes:. \n Question: What are the two main components in a battery?",anode and a cathode,filter and a cathode,regenerate,,
"Support: Metallic Iron""). Instead, the rust continually flakes off to expose a fresh metal surface vulnerable to reaction with oxygen and water. Because both oxygen and water are required for rust to form, an iron nail immersed in. \n Question: Oxygen and what are required for rust to form?",water,carbon,physical and chemical,,
Support: Plastids are membrane-bound organelles with their own DNA. Examples are chloroplasts and chromoplasts. Chloroplasts contain the green pigment chlorophyll and carry out photosynthesis . Chromoplasts make and store other pigments. They give flower petals their bright colors. \n Question: What are membrane-bound organelles with their own dna called?,plastids,vacuoles,umbra,,
"Support: Feathers are also used all over the world to stuff pillows, mattresses, sleeping bags, coats, and quilting. Goose feathers are preferred because they are soft. Manufacturers often mix goose feathers with down feathers to provide extra softness. \n Question: Why are goose feathers preferred for stuffing by manufacturers?",softness,multi layers build up,"cyan, yellow, magenta",,
"Support: Fossil fuels are compounds of carbon and hydrogen, called hydrocarbons . Hydrocarbons can be solid, liquid, or gas. The solid form is coal. The liquid form is petroleum, or crude oil. The gaseous form is natural gas. \n Question: What do we call the solid form of hydrocarbons?",coal,methane,life science,,
Support: Earth's internal heat does not depend on the Sun for energy. This heat comes from remnant heat when the planet formed. It also comes from the decay of radioactive elements. Radioactivity is an important source of energy. \n Question: Decay of what provides some of earth's internal heat?,radioactive elements,ionic elements,muscles,,
"Support: Humidity is the amount of water in the air. Air with a high concentration of water will be called humid. Moving away from the most humid climate, biomes will be called semi-humid, semi-arid, or arid (the driest). \n Question: What measures the amount of water in the air?",humidity,cloud cover,electrons,,
"Support: Darwin thought that evolution occurs gradually. This model of evolution is called gradualism. The fossil record better supports the model of punctuated equilibrium. In this model, long periods of little change are interrupted by bursts of rapid change. \n Question: Did darwin believe in punctuated equilibrium or gradualism?",gradualism,it depended,element,,
Support: Some of the most interesting evidence for evolution comes from vestigial structures . These are body parts that are no longer used but are still present in modern organisms. Examples in humans include tail bones and the appendix. \n Question: What is the tail bone an example of?,vestigial structure,invertebrate structure,second line of defense,,
"Support: Other protists have what are called transient pseudopodia , which are like temporary feet. The cell surface extends out to form feet-like structures that propel the cell forward. An example of a protist with pseudopodia is the amoeba. \n Question: What are temporary feet that protists have called?",transient pseudopodia,pedicules,clouds,,
"Support: Long bones ossify and get longer as they grow and develop. These bones grow from their ends, known as the epiphysis, and the presence of a growth plate, or epiphyseal line, signifies that the bone is still growing. \n Question: What are the ends of long bones called?",epiphysis,cartilage,geothermal energy,,
"Support: Reptiles are a class of ectothermic, tetrapod vertebrates. They have several adaptations for living on dry land, such as tough keratin scales and efficient lungs for breathing air. They also have a three-chambered heart and relatively well-developed brain. \n Question: How many chambers are in a reptiles heart?",three,ten,testosterone,,
"Support: From seeing a skeleton, you might think that bones are just dead, hollow structures. But in a living person, those hollow spaces are full of living cells. Bones have a blood supply and nerves. Bones are a living tissue. \n Question: Are bones considered living or dead tissues?",living,decaying,genetic drift,,
"Support: Plant-like protists are essential to the ecosystem. They are the base of the marine food chain, and they produce oxygen through photosynthesis for animals to breathe. They are classified into a number of basic groups ( Table below ). \n Question: Plant-like protists produce oxygen through which process?",photosynthesis,respiration,oil spill,,
"Support: One advantage of anaerobic respiration is obvious. It lets organisms live in places where there is little or no oxygen. Such places include deep water, soil, and the digestive tracts of animals such as humans (see Figure below ). \n Question: What is the measure of electric current?",ampheres,intensity,tonsils,,
"Support: Birds need a light-weight body in order to stay aloft. Even so, flying is hard work, and flight muscles need a constant supply of oxygen- and nutrient-rich blood. The organ systems of birds are adapted to meet these needs. \n Question: Why do birds need a light-weight body?",to stay aloft,for cooling,fertilization,,
"Support: Bile salts are bile acids that help to break down fat. Bile acids are made in the liver. When you eat a meal, bile is secreted into the intestine, where it breaks down the fats ( Figure below ). \n Question: In which organ are bile acids made",liver,spleen,kinetic energy,,
"Support: The earliest and simplest vertebrates are fish. Fish also have the greatest number of vertebrate classes. Think about some of the fish you are familiar with, such as fish you eat or fish you may have seen in aquariums. \n Question: What are the earliest and simplest vertebrates?",fish,whales,commensalism,,
"Support: Farmers use greenhouses to extend the growing season. A greenhouse traps heat. Days that are too cool for a growing plant can be made to be just right. Similar to a greenhouse, greenhouse gases in the atmosphere keep Earth warm. \n Question: What do farmers use greenhouses for?",to extend the growing season,to predict the growing season,phytoplankton,,
Support: Glaciers modify the landscape by erosion. They also modify the landscape by deposition. Glaciers carry an enormous amount of material and dump it. The features they leave behind show where they were and what happened as they were melting away. \n Question: Glaciers modify the landscape by what?,erosion,silt,the spleen,,
"Support: Global air currents cause global winds. The figure below shows the direction that these winds blow ( Figure below ). Global winds are the prevailing, or usual, winds at a given latitude. The winds move air masses, which causes weather. \n Question: Winds moving air masses causes what?",weather,earthquake,exothermic,,
"Support: Caecilians are most closely related to salamanders. As you can see from Figure below , they have a long, worm-like body without legs. Caecilians evolved from a tetrapod ancestor, but they lost their legs during the course of their evolution. \n Question: What ancestors did caecillians evolve from?",tetrapod,ornithopod,terrestrial habitats,,
"Support: Benzene is the smallest aromatic hydrocarbon. It has just one ring. You can see its structural formula in Figure below . Benzene has many uses. For example, it is used in air fresheners and mothballs because of its strong scent. \n Question: What is the smallest aromatic hydrocarbon?",benzene,naphthalene,endothermic,,
"Support: Yeasts do not produce spores. Instead, they reproduce asexually by budding. Budding is the pinching off of an offspring from the parent cell. The offspring cell is genetically identical to the parent. Budding in yeast is pictured in Figure below . \n Question: How do yeasts reproduce asexually?",by budding,by outcropping,kidneys,,
"Support: Are there male and female bacteria? Of course the answer is no. So, sexual reproduction does not occur in bacteria. But not all new bacteria are clones. This is because bacteria can acquire new DNA. This process occurs in three different ways:. \n Question: Do bacteria sexually reproduce?",no,sometimes,human biology,,
"Support: Roots are covered with thin-walled dermal cells and tiny root hairs. These features are well suited to absorb water and dissolved minerals from the soil. \n Question: Well suited to absorb water and dissolved minerals from the soil, thin-walled dermal cells and tiny hairs cover what basic plant structures?",roots,leaves,hormones,,
"Support: Electromagnets find use in many practical applications. Electromagnets are used to lift large masses of magnetic materials such as scrap iron, rolls of steel, and auto parts. \n Question: What are used to lift large masses of magnetic materials such as scrap iron, rolls of steel, and auto parts?",electromagnets,Glue,seven,,
"Support: Passive transport requires no energy. It occurs when substances move from areas of higher to lower concentration. Types of passive transport include simple diffusion, osmosis, and facilitated diffusion. \n Question: What type of transport requires no energy and occurs when substances move from areas of higher to lower concentration?",passive transport,immune transport,population growth rate,,
"Support: Fusion is the process in which two atomic nuclei fuse together to make a single nucleus. Energy is released in the form of nuclear particles, neutrons, and gamma-rays. \n Question: What is the term for the process in which two atomic nuclei fuse together to make a single nucleus?",fusion,absorption,exothermic reactions,,
"Support: Ambrosia beetles live in the bark of trees. Like ants and termites, they grow fungi inside the bark of trees and use it to help digest their food. \n Question: Like ants and termites, they grow fungi inside the bark of trees and use it to help do what?",digest food,clean the nest,brains,,
"Support: In arid regions, a mountain stream may flow onto flatter land. The stream comes to a stop rapidly. The deposits form an alluvial fan ( Figure below ). \n Question: When a mountain stream flows onto flatter land and comes to a stop rapidly, what do the deposits form?",alluvial fan,conical fan,refraction of light,,
"Support: Chemical reactions always involve energy. When methane burns, for example, it releases energy in the form of heat and light. Other chemical reactions absorb energy rather than release it. \n Question: Chemical reactions always involve energy. when methane burns, for example, it releases energy in the form of what?",heat and light,movement and light,infections and other dieases,,
"Support: A: Both boxes have the same volume because they are the same size. However, the books have greater mass than the feathers. Therefore, the box of books has greater density. \n Question: What third property is different if two boxes have the same volume but one has greater mass?",density,oxygen,effusion,,
Support: Skin grafts are required when the damage from trauma or infection cannot be closed with sutures or staples. Watch this video (http://openstaxcollege. org/l/skingraft) to learn more about skin grafting procedures. \n Question: What are required when the damage from trauma or infection cannot be closed with sutures or staples?,skin grafts,tree grafts,inner,,
Support: On the far right are X rays and gamma rays. The have the shortest wavelengths and highest frequencies of all electromagnetic waves. They also have the greatest amount of energy. \n Question: X rays and what other type of electromagnetic wave has the shortest wavelengths and the highest frequencies?,gamma rays,ultraviolet rays,generation of electricity,,
"Support: Examples of behaviors with annual cycles include migration and hibernation. Both are innate behaviors. They are triggered by changes in the environment, such as the days growing shorter in the fall. \n Question: Triggered by changes in the environment, migration and hibernation occur as cycles on what temporal basis?",annual,bi-annually,hydrolysis,,
"Support: Radio waves are the broad range of electromagnetic waves with the longest wavelengths and lowest frequencies. They are used for radio and television broadcasts, microwave ovens, cell phone transmissions, and radar. \n Question: What waves are the broad range of electromagnetic waves with the longest wavelengths and lowest frequencies?",radio,sound,nucleus,,
Support: The reaction of an alkyl halide with an inorganic hydroxide base at elevated temperature produces an alcohol. The molecular reaction to produce methanol from iodomethane and sodium hydroxide is shown below. \n Question: The reaction of an alkyl halide with an inorganic hydroxide base at elevated temperature produces what?,an alcohol,blood,the metallic bond,,
"Support: Catabolic reactions involve breaking bonds. Larger molecules are broken down to smaller ones. For example, complex carbohydrates are broken down to simple sugars. Catabolic reactions release energy, so they are exothermic. \n Question: What is broken during catabolic reactions, such as the breakdown of complex carbohydrates into simple sugars?",bonds,ions,accepts one proton,,
Support: Determining recombination frequencies between genes located on the same chromosome allows a linkage map to be developed. Linkage mapping is critical for identifying the location of genes that cause genetic diseases. \n Question: What type of mapping is critical for identifying  the location of genes that cause genetic diseases?,linkage mapping,interaction mapping,the placenta,,
"Support: Competition is a relationship between organisms that strive for the same resources in the same place. The resources might be food, water, or space. There are two different types of competition:. \n Question: What is a relationship between organisms that strive for the same resources in the same place?",competition,antagonistic,mammary glands,,
Support: Glutathione is a low-molecular-weight compound found in living cells that is produced naturally by the liver. Healthcare providers give glutathione intravenously to prevent side effects of chemotherapy and to prevent kidney problems. \n Question: Glutathione is a low-molecular-weight compound found in living cells that is produced naturally by what?,liver,blood,subduction plate boundaries,,
Support: Mutations that occur in body cells cannot be passed on to offspring. They are confined to just one cell and its daughter cells. These mutations may have little effect on an organism. \n Question: Mutations cannot be passed on to offspring if they occur in what type of cells?,body cells,put cells,potassium ions,,
Support: Many people get their freshwater from an aquifer. They obtain the water through a well. A well is a hole that is dug or drilled through the ground down to an aquifer. \n Question: What is hole that is dug or drilled through the ground down to an aquifer?,well,big hole,cells,,
"Support: Light may interact with matter in several ways, including reflection, refraction, transmission, and absorption. Matter can be classified on the basis of how light interacts with it as transparent, translucent, or opaque. \n Question: What are the three ways to classify matter based on how light interacts with it?","transparent, opaque, translucent","opaque, invisible, visible",bacteria,,
"Support: Bones consist of four different types of tissue: periosteum, compact bone, spongy bone, and bone marrow. Ossification gradually changes the cartilage skeleton of the fetus to the bony skeleton of the adult. \n Question: Bones consist of four types of tissue, compact bone, spongy bone, bone marrow, and what?",periosteum,collagen,monotreme,,
"Support: Secondhand smoke , which comes from breathing the smoke release from tobacco products. Secondhand smoke is also the smoke exhaled by a cigarette smoker. This smoke is extremely dangerous to human health. \n Question: What is the health-threatening smoke exhaled by a cigarette smoker or released from tobacco products?",secondhand smoke,secondary smoke,organisms,,
"Support: Since sodium fluoride is soluble, the sodium ion is a spectator ion in the neutralization reaction. The fluoride ion is capable of reacting, to a small extent, with water, accepting a proton. \n Question: What is the role of the sodium ion in the neutralization reaction of sodium flouride?",spectator ion,reflection ion,organisms,,
"Support: treat genetic disorders. For example, copies of a normal gene might be inserted into a patient with a defective gene. This is called gene therapy . Ideally, it can cure a genetic disorder. \n Question: Inserting copies of normal genes into a patient with defective genes is known as?",gene therapy,pattern therapy,interphase and mitotic,,
"Support: Movable joints are also known as synovial joints. This is because the space between the bones is filled with a thick fluid, called synovial fluid, that cushions the joint (see Figure below ). \n Question: What is the thick fluid in the space between bones that cushions the joint?",synovial fluid,interstitial fluid,nerve cell,,
Support: Fog ( Figure below ) is a cloud on the ground. Fog forms when humid air near the ground cools below its dew point. Each type of fog forms in a different way. \n Question: What is formed when humid air near the ground cools below its dew point?,fog,steam,carbides,,
"Support: Matter can be classified on the basis of its interactions with light. Matter may be transparent, translucent, or opaque. An example of each type of matter is pictured in the Figure below . \n Question: Transparent, translucent, or opaque are properties of matter based on an interaction with what?",light,air,fatty acids,,
"Support: Bacteria known as decomposers break down wastes and dead organisms into smaller molecules. These bacteria use the organic substrates they break down to get their energy, carbon, and nutrients they need for survival. \n Question: What organisms known as decomposers break down wastes and dead organisms into smaller molecules?",bacteria,consumers,terrestrial ancestors,,
"Support: Many other salts are important in the body. For example, bile salts produced by the liver help break apart dietary fats, and calcium phosphate salts form the mineral portion of teeth and bones. \n Question: Bile salts produced by the liver assist in breaking apart what kind of fats?",dietary,soluble,percentage of solute,,
"Support: Living species of chordates are classified into three major subphyla: Vertebrata, Urochordata, and Cephalochordata. Vertebrates are all chordates that have a backbone. The other two subphyla are invertebrate chordates that lack a backbone. \n Question: Living species of chordates are classified into three major subphyla: vertebrata, urochordata, and what?",cephalochordata,spirogyra,acceleration,,
Support: A snail might travel 2 centimeters in a minute. A cheetah might travel 2 kilometers in the same amount of time. The distance something travels in a given amount of time is its speed. \n Question: What is the distance something travels in a given amount of time called?,speed,revolution,velocity,,
"Support: Some objects produce light without becoming very hot. They generate light through chemical reactions or other processes. Producing light without heat is called luminescence . Luminescence, in turn, can occur in several different ways:. \n Question: What is the name of the process where light is produced without heat?",luminescence,radiation,homosporous,,
"Support: Hydrocarbons vary greatly in size, which influences properties such as melting and boiling points. At room temperature, hydrocarbons may be gases, liquids, or solids. They are generally nonpolar and do not dissolve in water. \n Question: What type of carbons may be gases, liquids, or solids at room temperature?",hydrocarbons,diamonds,compressed,,
"Support: Clouds form when water vapor condenses in the air around specs of matter. Clouds are classified on the basis of where and how they form. Types of clouds include cirrus, stratus, and cumulus clouds. \n Question: What form when water vapor condenses in the air around specs of matter?",clouds,humidity,repel each other,,
Support: The concentration of a solution is the amount of solute in a given amount of solution. A dilute solution has a low concentration of solute. A concentrated solution has a high concentration of solute. \n Question: What term describes the amount of solute in a given amount of solution?,concentration,density,greenhouse effect,,
Support: Pollutants in surface water can filter into the ground and enter a groundwater aquifer. Irrigation water can bring pesticides and other chemicals. Water can seep through landfills. Tanks of gasoline stored underground can leak. \n Question: Pollutants in surface water can filter into the ground and enter a what?,groundwater aquifer,hydro plant,controlled experiment,,
"Support: An ovule is a female reproductive structure in seed plants that contains a tiny female gametophyte. The gametophyte produces an egg cell. After the egg is fertilized by sperm, the ovule develops into a seed. \n Question: In seed plants, after fertilization, what will the ovule eventually develop into?",seed,cone,decrease,,
Support: Carbon taxes are taxes placed on products that produce carbon dioxide. An example of this is gasoline for your car. The taxes encourage people to use less fossil fuel. This naturally reduces carbon dioxide emissions. \n Question: What do you call taxes placed on products that produce carbon dioxide?,carbon taxes,pollution tax,heat,,
"Support: Density is an important physical property of matter. It reflects how closely packed the particles of matter are. Density is calculated from the amount of mass in a given volume of matter, using the formula:. \n Question: What physical property of matter reflects how closely packed the particles are?",density,volume,primary meristem,,
"Support: The red blood cells of a person with sickle-cell anemia (left) are long and pointed, rather than straight, like normal cells (right). The abnormal cells cannot carry oxygen properly and can get stuck in capillaries. \n Question: The abnormal cells cannot carry oxygen properly and can get stuck where?",capillaries,muscles,gravity,,
Support: The Sun gives off energy in tiny packets called photons . Photons travel in waves. Figure below models a wave of light. Notice the wavelength in the figure. Waves with shorter wavelengths have more energy. \n Question: What are the tiny packets of energy the sun gives off called?,photons,ions,sublimation,,
"Support: Unlike Mendel's peas, people do not all fall into two categories: short or tall. Most people, in fact, are somewhere in between. Obviously, Mendel's rules are too simple to explain the inheritance of human height. \n Question: Whose rules are too simple to explain the inheritance of human height?",mendel,Einstein,ovaries,,
Support: Nonmetals are elements that do not conduct electricity. They are the second largest class of elements. Nonmetals are also poor conductors of heat. The majority of nonmetals are gases. Solid nonmetals are dull and brittle. \n Question: Elements that do not need to conduct electricity are known as what?,nonmetals,alloys,wetlands,,
"Support: Vertebrates. From the smallest of fish to us. One of the main features we all have in common is our backbone. The Vertebrates chapter describes the biological features of fish, amphibians, reptiles, birds, and mammals. \n Question: One of the main features all vetebrates have in common is what?",backbone,hard shell,capillaries,,
"Support: Solids that change to gases generally first pass through the liquid state. However, sometimes solids change directly to gases and skip the liquid state. The reverse can also occur. Sometimes gases change directly to solids. \n Question: When solids change to gasses, they generally pass through what other state?",liquid,chemical,slip face,,
"Support: They have lots of mitochondria. Mitochondria are called the power plants of the cell, as these organelles are where most of the cell's energy is produced. Cells that need lots of energy have lots of mitochondria. \n Question: What organelles are known as the ""power plants"" of the cell?",mitochondria,plastid,sunlight,,
"Support: Earthquakes can cause tsunamis . These deadly ocean waves may result from any shock to ocean water. A shock could be a meteorite impact, landslide, or a nuclear explosion. But most come from large underwater earthquakes. \n Question: By shocking ocean water, earthquakes can cause what deadly ocean waves?",tsunamis,deep currents,mitochondria,,
Support: Boron forms multicenter bonds rather than metallic lattices with delocalized valence electrons. Why does it prefer this type of bonding? Does this explain why boron behaves like a semiconductor rather than a metal? Explain your answer. \n Question: What kind of bonds does boron form rather than metallic lattices?,multicenter,magnetic bonds,photosynthesis,,
"Support: Hemophilia is a sex-linked trait. Carrier mothers can pass along the affected allele to 50% of their sons. Females with hemophilia would have to receive an affected allele from each parent, making females with hemophilia rare. \n Question: What disease is given as an example of a sex-linked trait?",hemophilia,arthritis,puberty,,
Support: The most common type of cancer in adult males is cancer of the prostate gland. The prostate gland is part of the male reproductive system. About one third of all cancers in men are prostate cancers. \n Question: What is the most common type of cancer in adult males?,prostate,lung,light,,
"Support: A rock under enough stress will fracture. There may or may not be movement along the fracture. If there is not movement, the fracture is a joint. If there is movement, the fracture is a fault. \n Question: What will happen to a rock when it's under tremendous stress?",it will fracture,it will slow,insects,,
Support: Consumers are organisms that depend on other living things for food. They take in organic compounds by eating or absorbing other living things. Consumers include all animals and fungi. They also include some bacteria and protists. \n Question: What are organisms that depend on other living things for food?,consumers,customers,central tendency,,
"Support: The color of light that strikes an object may also affect the color that the object appears. For example, if only blue light strikes green leaves, the blue light is absorbed and no light is reflected. \n Question: If only blue light strikes green leaves what happens to it?",it is absorbed,it causes heating,monosaccharides,,
"Support: Cyanide inhibits cytochrome c oxidase, a component of the electron transport chain. If cyanide poisoning occurs, would you expect the pH of the intermembrane space to increase or decrease? What effect would cyanide have on ATP synthesis?. \n Question: Which component of the electron transport chain does cyanide inhibit?",cytochrome c oxidase,succinate dehydrogenase,energy,,
"Support: Erosion and deposition are responsible for many landforms. Erosion is the transport of sediments. Agents of erosion include flowing water, waves, wind, ice, or gravity. Eroded material is eventually dropped somewhere else. This is called deposition . \n Question: The process where eroded material is dropped somewhere is called?",deposition,maturation,water and minerals,,
Support: Another common dilution problem involves deciding how much of a highly concentrated solution is requires to make a desired quantity of solution of lesser concentration. The highly concentrated solution is typically referred to as the stock solution. \n Question: What is a high concentrated solution typically referred to as?,stock solution,percent solution,adhesion,,
"Support: Cysts may develop in the ovaries. A cyst is a sac filled with fluid or other material. Ovarian cysts are usually harmless and often disappear on their own. However, some cysts may be painful and require surgery. \n Question: What is a sac filled with fluid or other material?",a cyst,a lesion,phospholipids,,
Support: Which of the three domains of life do viruses belong to? None. Why? Viruses are usually considered to be nonliving. Viruses do not meet most of the criteria of life. They are not even made of cells. \n Question: Why do viruses not belong to any domain of life?,they are nonliving,they are immortal,cells,,
"Support: Monatomic ions have an oxidation number equal to their charge. Li + has an oxidation state of +1, Ba 2+ has an oxidation state of +2, I - has an oxidation state of -1, and so on. \n Question: Monatomic ions have an oxidation number equal to their what?",charge,size,matter,,
"Support: In radio broadcasts, sounds are encoded in radio waves by changing either the amplitude (AM) or frequency (FM) of the waves. The encoded waves are broadcast from a tower and changed back to sounds by radio receivers. \n Question: What changes encoded waves which are being broadcast into sounds?",radio receivers,transmitters,mitosis,,
"Support: Birds live and breed in most terrestrial habitats on Earth. They can be found on all seven continents, from the Arctic to Antarctica. However, the majority of bird species are native to tropical areas of the planet. \n Question: What areas of the planet are most birds native to?",tropical,desert,burning of fossil fuels,,
"Support: 8.7.1 Intermediate Filaments These are rope like filaments, 8-10nm in diameter and tend to give the structural stability to cells. Examples inculude Vimentin, neurofilaments and keratin. It is keratin which priniciply makes up hair, nails and horns. \n Question: Intermediate filaments tend to give the structural stability to what?",cells,nerves,feedback mechanism,,
"Support: A monosaccharide is a simple sugar such as fructose or glucose. Fructose is found in fruits, whereas glucose generally results from the digestion of other carbohydrates. Glucose is used for energy by the cells of most organisms. \n Question: What is a simple sugar such as fructose or glucose?",monosaccharide,disaccharide,pressure,,
Support: Living arthropods are divided into four subphyla. They are described in Table below . The Hexapoda subphylum includes mainly insects. There are so many insects and they are so important that they are described in greater detail below. \n Question: The hexapoda subphylum includes mainly what type of animal?,insects,spiders,helium,,
"Support: Blood vessels form a network throughout the body to transport blood to all the body cells. There are three major types of blood vessels: arteries, veins, and capillaries. All three are shown in Figure below and described below. \n Question: What are the three major types of blood vessels?","arteries, veins, capillaries","arteries , pups , capillaries",a cirque,,
"Support: Oxygen is needed to make ozone. Ozone is a molecule made of three oxygen ions. Ozone in the upper atmosphere blocks harmful solar radiation from reaching the surface. Without oxygen, life on Earth would have been very simple. \n Question: How many oxygen ions make up an ozone molecule?",three,eight,meteorologists,,
"Support: If a substance is corrosive, it can eat through objects. Many scientists have to work with chemicals that are corrosive or otherwise dangerous. That's one reason that following safety precautions in the laboratory or field is very important. \n Question: What kind of harm does a corrosive substance cause?",eats through objects,Builds a crust,menstruation,,
"Support: Binary compounds are compounds composed of just two elements. The simplest kind of decomposition reaction is when a binary compound decomposes into its elements. Mercury(II) oxide, a red solid, decomposes when heated to produce mercury and oxygen gas. \n Question: What are compounds composed of only two elements called?",binary compounds,digital compounds,gas law,,
Support: X rays and gamma rays are the electromagnetic waves with the shortest wavelengths and highest frequencies. X rays are used in medicine and dentistry and to screen luggage at airports. Gamma rays are used to kill cancer cells. \n Question: Which electromagnetic radiation is used to kill cancer cells?,gamma rays,ultraviolet rays,elastic rebound,,
Support: Saprotrophs are the final step in decomposition. They feed on any remaining organic matter that is left after other decomposers do their work. Saprotrophs include fungi and single-celled protozoa. Fungi are the only organisms that can decompose wood. \n Question: What are the only organisms that can decompose wood?,fungi,bacteria,red,,
Support: A mountain-building event is called an orogeny . Orogenies take place over tens or hundreds of millions of years. Continents smash into each other. Microcontinents and island arcs smash into continents. All of these events cause mountains to rise. \n Question: What is the term for a mountain-building event?,orogeny,glaciation,stronger hydrogen bonding,,
"Support: Figure 2.13 Oil and water do not mix. As this macro image of oil and water shows, oil does not dissolve in water but forms droplets instead. This is due to it being a nonpolar compound. (credit: Gautam Dogra). \n Question: What does oil do when mixed with water?",forms droplets,dissolves,vertebrates,,
Support: Diagram of a Cytomegalovirus. The capsid encloses the genetic material of the virus. The envelope which surrounds the capsid is typically made from portions of the host cell membranes (phospholipids and proteins). Not all viruses have a viral envelope. \n Question: What encloses the genetic material of the virus?,the capsid,mitochondria,gymnosperms,,
"Support: Mercury manometers are often used to measure arterial blood pressure. An inflatable cuff is placed on the upper arm as shown in Figure 11.17. By squeezing the bulb, the person making the measurement exerts pressure, which is transmitted undiminished. \n Question: What are mercury manometers often used to measure?",blood pressure,weight,ethology,,
"Support: The octopi in the above two videos are both opening jars. Observe their behavior closely. Do you think they are both displaying the same type of learning? Explain your reasoning fully, and be as specific as you can be. \n Question: What type of symmetry does an octopus have?",bilateral,internal,a pathogen,,
"Support: Water is recycled constantly through the ecosystem. That means any water you drank today has been around for millions of years. You could be drinking water that was once drunk by George Washington, the first humans, or even the dinosaurs. \n Question: Water is recycled constantly through which system?",the ecosystem,the hydropshere,dmitri mendeleev,,
"Support: The brain and spinal cord are protected within bones of the skeletal system, but injuries to these organs still occur. With mild injuries, there may be no lasting effects. With severe injuries, there may be permanent disability or even death. \n Question: Bones are part of which body system?",skeletal system,hard system,atom,,
"Support: Blood flows in only one direction in the heart. Blood enters the atria, which contract and push blood into the ventricles. The atria relax and the ventricles fill with blood. Finally, the ventricles contract and push blood around the body. \n Question: Blood enters the heart in what valve?",atria,tricuspid,stock solution,,
"Support: Vertebrates are a subphylum of the phylum Chordata. Like all chordates, vertebrates have a notochord, a dorsal hollow nerve cord, pharyngeal slits, and a post-anal tail. What other characteristics do vertebrates have? What traits set them apart from invertebrate chordates?. \n Question: Vertebrates are a subphylum of what phylum?",chordata,arthropoda,white,,
Support: Ionic and covalent compounds are held together by electrostatic attractions between oppositely charged particles. Describe the differences in the nature of the attractions in ionic and covalent compounds. Which class of compounds contains pairs of electrons shared between bonded atoms?. \n Question: What holds ionic and covalent compounds together?,electrostatic attractions,gravity,horizontal,,
"Support: Clouds on Earth are made of water vapor. Venus's clouds are a lot less pleasant. They are made of carbon dioxide, sulfur dioxide, and large amounts of corrosive sulfuric acid! Scientists think the color of sunlight on Venus is reddish-brown. \n Question: What are clouds on earth made of?",water vapor,rain,continental shelf,,
Support: MyPyramid can help you choose foods wisely for good health. Each colored band represents a different food group. The key shows which food group each color represents. Which colored band of MyPyramid is widest? Which food group does it represent?. \n Question: Mypyramid features colored bands that represent what?,food groups,caloric content,slow down,,
"Support: The branch of biology that studies animal behavior is called ethology . Ethologists usually study how animals behave in their natural environment, rather than in a lab. They generally try to answer four basic questions about the behaviors they observe:. \n Question: What branch of biology studies animal behavior?",ethology,embryology,mouth,,
"Support: Unsaturated fatty acids have at least one double bond between carbon atoms. As a result, some carbon atoms are not bonded to as many hydrogen atoms as possible. They are unsaturated with hydrogens. Unsaturated fatty acids are found in oils. \n Question: Where are unsaturated fatty acids commonly found?",oil,animal products,density,,
"Support: Vertebrates reproduce sexually, and almost all of them have separate male and female sexes. Generally, aquatic species have external fertilization, whereas terrestrial species have internal fertilization. Can you think of a reason why aquatic and terrestrial vertebrates differ in this way?. \n Question: In which way do vertebrates reproduce?",sexually,bisexually,nervous system,,
"Support: Coal is a solid hydrocarbon. Coal is useful as a fuel, especially for generating electricity. Coal is relatively inexpensive and abundant. Developing nations, like China, rely heavily on coal. Around the world, coal is the largest source of energy for electricity. \n Question: What type of hydrocarbon is coal?",solid,mineral,evolution,,
"Support: Mammals are noted for the many ways they can move. Some mammals are well known for their speed. The fastest land animal is a mammal, the cheetah. It can race at speeds of up to 112 kilometers (70 miles) per hour. \n Question: What is the fastest land animal?",cheetah,ostrich,cornea,,
Support: The daughter cells then start to divide by meiosis . But they only go through the first of the two cell divisions of meiosis at that time. They go through the second stage of cell division after the female goes through puberty. \n Question: Daughter cells divide by what?,meiosis,electrolysis,the large intestine,,
"Support: Like other female vertebrates, all female mammals have ovaries . These are the organs that produce eggs (see Figure below ). Therian mammals also have two additional female reproductive structures that are not found in other vertebrates. They are the uterus and vagina. \n Question: What organs produce eggs?",ovaries,glands,catalyst,,
"Support: Binary fission occurs when a parent cell simply splits into two daughter cells. This method is described in detail in the lesson ""Cell Division. "" Bacteria reproduce this way. You can see a bacterial cell reproducing by binary fission in Figure below . \n Question: How does bacteria reproduce?",binary fission,sexual reproduction,calcite,,
"Support: After each mass extinction, new species evolve to fill the habitats where old species lived. This is well documented in the fossil record. \n Question: The fossil record shows that this type of event is followed by the evolution of new species to fill the habitats where old species lived?",mass extinction,minor extinction,space,,
